user_id,sleep_duration,time_in_bed,light,rem,deep,time_to_fall_asleep,awake,source
6607fef3bb620879ae8bba57,26460,28850,16740,3030,6690,,2390,['Oura']
660aa1f5bb620879aef4206f,28560,32378,17490,6240,4830,,3818,['Oura']
660bf373bb620879ae0451d0,26130,27870,15150,6870,4110,,1740,['Oura']
660caca7bb620879ae363ec0,23910,28921,16140,5010,2760,,5011,['Oura']
660d44f4bb620879ae5e7aa4,27030,28929,17910,6690,2430,,1899,['Oura']
660d6800bb620879aecfe4b7,29940,34364,16980,5250,7710,,4424,['Oura']
660e6fd2bb620879ae6c8df0,26130,28684,14100,6870,5160,,2554,['Oura']
660e7a21bb620879ae7dd982,26100,31795,17760,4620,3720,,5695,['Oura']
660eeadebb620879aee9a54b,25050,36511,20790,2940,1320,,11461,['Oura']
66126453bb620879ae116a09,27060,32771,17190,5610,4260,,5711,['Oura']
6613bc26bb620879ae651c0c,29400,33541,19020,6510,3870,,4141,['Oura']
661658d1bb620879aeaa538c,24930,28257,15120,5820,3990,,3327,['Oura']
66192273e199c5a336effff2,25020,27021,14880,6600,3540,,2001,['Oura']
661d6b60e199c5a3364830be,28410,45389,18210,5190,5010,,16979,['Oura']
661e3657e199c5a336b3c2f1,27570,38460,18690,5340,3540,,10890,['Oura']
661e3657e199c5a336b3c2fe,27570,38460,18690,5340,3540,,10890,['Oura']
661fb9f2e199c5a3365ea25c,23430,24945,13140,5610,4680,,1515,['Oura']
661fb9f3e199c5a3365ea596,23430,24945,13140,5610,4680,,1515,['Oura']
66218f48fd3b48b1cd378d9f,29100,39360,19290,7170,2640,,10260,['Oura']
662192f5fd3b48b1cd44600b,29100,39360,19290,7170,2640,,10260,['Oura']
66225cf3fd3b48b1cd5014d9,24750,27989,14040,5400,5310,,3239,['Oura']
662591c7fd3b48b1cde7c425,28890,32136,19200,9510,180,,3246,['Oura']
6625ed63fd3b48b1cdbb835a,24510,31858,15510,5910,3090,,7348,['Oura']
662636b6fd3b48b1cd43945c,27030,28251,17250,6000,3780,,1221,['Oura']
6626b8d9fd3b48b1cdfe66fd,27720,33086,18600,6000,3120,,5366,['Oura']
6629252640eefde529ba3d94,28380,36172,18360,6210,3810,,7792,['Oura']
662a45f240eefde52940fa80,28440,30839,16620,7170,4650,,2399,['Oura']
662a45f540eefde529410673,21780,25712,14310,5160,2310,,3932,['Oura']
662b977240eefde529ba998d,27780,29586,18210,6780,2790,,1806,['Oura']
662e57db40eefde52914a79b,34170,40496,24840,6360,2970,,6326,['Oura']
660800a8bb620879ae903def,28500,30120,19710,4500,4290,,1620,['Polar']
660800b7bb620879ae9063dd,28500,30120,19710,4500,4290,,1620,['Polar']
66096bf4bb620879aec055d5,31350,33390,19110,6840,5400,,2040,['Polar']
660aaaaebb620879ae1662e2,33030,35550,22260,5070,5700,,2520,['Polar']
660aaab3bb620879ae167263,33030,35550,22260,5070,5700,,2520,['Polar']
660bf7f2bb620879ae1b6fbb,31350,33660,20790,7830,2730,,2310,['Polar']
660bf7f6bb620879ae1b79d4,31350,33660,20790,7830,2730,,2310,['Polar']
660e9f31bb620879aee0962e,30120,31710,18420,6930,4770,,1590,['Polar']
660ffc5dbb620879ae794909,30600,33750,21090,4410,5100,,3150,['Polar']
660ffc62bb620879ae795bf2,30600,33750,21090,4410,5100,,3150,['Polar']
661141b0bb620879aee97db6,27690,30720,17490,5160,5040,,3030,['Polar']
661141b9bb620879aee99afc,27690,30720,17490,5160,5040,,3030,['Polar']
66169e31bb620879ae72b496,31890,34500,17520,8880,5490,,2610,['Polar']
661a840fe199c5a336746f03,28350,29940,18120,6240,3990,,1590,['Polar']
661a8414e199c5a336748140,28350,29940,18120,6240,3990,,1590,['Polar']
661a8418e199c5a336748eca,28350,29940,18120,6240,3990,,1590,['Polar']
661bd9e1e199c5a336739cfd,28950,30420,14640,9480,4830,,1470,['Polar']
661f646ce199c5a3369da870,23670,25200,13980,5430,4260,,1530,['Polar']
662202d7fd3b48b1cd882824,25800,27300,13620,7860,4320,,1500,['Polar']
66234d5efd3b48b1cd8910de,17310,18450,11340,2460,3510,,1140,['Polar']
66234d65fd3b48b1cd8921d0,17310,18450,11340,2460,3510,,1140,['Polar']
6624d61afd3b48b1cdc6f917,34110,36330,17880,9570,6660,,2220,['Polar']
6624d9c9fd3b48b1cdceb5bb,34110,36330,17880,9570,6660,,2220,['Polar']
66273772fd3b48b1cd5bde27,23700,25050,14760,5730,3210,,1350,['Polar']
6629f11c40eefde5297884a2,30690,32430,17040,6690,6960,,1740,['Polar']
6629f11f40eefde529788a6d,30690,32430,17040,6690,6960,,1740,['Polar']
6629f12540eefde529789e78,30690,32430,17040,6690,6960,,1740,['Polar']
662b68e340eefde529211866,31590,33540,17250,6420,5220,,1950,['Polar']
662b68ea40eefde5292126bc,31590,33540,17250,6420,5220,,1950,['Polar']
662dfc9f40eefde529340b65,33540,35520,17370,11070,5100,,1980,['Polar']
6607e96dbb620879ae617394,18802,20417,14217,1902,2682,,1614,['Whoop']
660983b6bb620879aef6090a,28204,30655,21370,3201,3632,,2451,['Whoop']
660a9fb0bb620879aeee63ff,25608,27223,11795,7843,5969,,1615,['Whoop']
660bfbb3bb620879ae26b46c,30130,33764,17995,7203,4931,,3633,['Whoop']
660c01dcbb620879ae396bdb,29992,32789,21369,3460,5162,,2797,['Whoop']
660e9f35bb620879aee0a4f7,30510,31693,17821,7152,5537,,1182,['Whoop']
660ffc55bb620879ae792e6f,24195,27281,11332,5306,7555,,3085,['Whoop']
66114160bb620879aee88416,25179,28301,11679,7616,5883,,3121,['Whoop']
661155f1bb620879ae28cb65,15203,17885,10473,1874,2855,,2682,['Whoop']
6613f74fbb620879ae11c5d2,27311,30569,21802,3374,2134,,3258,['Whoop']
66152eacbb620879ae7230b9,26502,29126,9314,10007,7181,,2624,['Whoop']
6617d8d6bb620879aeef5480,30193,32702,17100,4816,8276,,2508,['Whoop']
661a7ccbe199c5a3365ae5b7,3777,3922,2364,922,490,,144,['Whoop']
661a8069e199c5a336672ccf,3777,3922,2364,922,490,,144,['Whoop']
661bd620e199c5a33668b067,27590,30561,11584,8363,7642,,2970,['Whoop']
661cad15e199c5a33601b065,30193,32183,15341,9113,5739,,1989,['Whoop']
661d4619e199c5a336b1f2dd,26906,30943,13150,7266,6488,,4037,['Whoop']
661f6741e199c5a336a3a49c,22176,23301,14390,5074,2710,,1124,['Whoop']
6620b194e199c5a336aa1d0c,21542,25377,10670,5507,5364,,3835,['Whoop']
662112c1e199c5a33688eb2b,27656,29502,16611,6979,4066,,1845,['Whoop']
6623565dfd3b48b1cd9be03c,16466,18254,9458,3662,3345,,1788,['Whoop']
66261145fd3b48b1cdfd97a3,33721,36519,15466,8565,9690,,2797,['Whoop']
6628802540eefde529de64e6,32730,35672,16407,7469,8853,,2941,['Whoop']
662883c340eefde529e63b7c,32730,35672,16407,7469,8853,,2941,['Whoop']
662b530d40eefde529f521c7,27713,31174,12515,8190,7007,,3460,['Whoop']
662b7ff240eefde5295291e0,27540,29242,11708,9487,6344,,1701,['Whoop']
662b938240eefde529ab727c,26618,30540,13958,5883,6777,,3922,['Whoop']
662b986440eefde529c6f3df,26358,30280,17735,4643,3979,,3922,['Whoop']
662c731940eefde529d2ae07,30223,33338,17331,6489,6402,,3114,['Whoop']
662e241d40eefde529873519,27771,30309,14880,6027,6863,,2537,['Whoop']
